Well,well_type,Avg_control_200,Avg_control_2000,Avg_control_5000,SD_control_200,SD_control_2000,SD_control_5000
G08,test_compounds,1.0388772390422776,1.1864881148639819,1.1054160035351812,0.05267176878584884,0.09997882585274569,0.03414141775779096
G09,test_compounds,0.8327630744274255,0.8550176865845049,0.8083057796693751,0.03888062246857258,0.08064838013015445,0.015761097143653348
G10,test_compounds,0.9580677135452966,0.9978090120717584,0.9874580415688375,0.03627633221297532,0.07382013172523448,0.00811766468972932
G11,test_compounds,0.9579043990677649,1.0797911585270696,0.9815084054637374,0.08118643069061732,0.08530875709360851,0.041625946896087375
G12,dmso,0.9798800954815609,1.006240011610847,0.9987067485854076,0.01008109721709794,0.06555367068581035,0.00222882703875419
H01,PC,0.19556549716611973,0.19651032963336906,0.21540385067390425,0.0039975087619562415,0.011887513957839237,0.007329329434113142
H02,test_compounds,0.8794972367092324,0.9423307029774316,0.9394734112245349,0.03067349684234643,0.003161368184872425,0.016385824195639286
H03,test_compounds,0.9211194569044154,0.700579637729267,0.6585695880950986,0.019316681294908877,0.03203124191345102,0.06335703755359752
H04,test_compounds,0.8176131865082265,0.7394468961442208,0.5801296307042494,0.06764622457625906,0.022485698970287543,0.024800169368605542
H05,test_compounds,0.8487947697620658,0.7658245261013069,0.8108301769677336,0.06708529272722019,0.008881906018018592,0.026748470662338604
H06,test_compounds,0.7399051361969379,0.6329801335252794,0.5653680225655858,0.06228144506650519,0.01218950564686647,0.019298219133193618
H07,test_compounds,0.8974299829826423,0.9421330283158623,0.8301579813976571,0.04113698995818,0.016850040333626016,0.008346577000136648
H08,test_compounds,0.9629357926175117,0.9432403054673437,0.8279358562505711,0.02636837546984278,0.028045480248487187,0.028371081412156943
H09,test_compounds,1.0479828941619653,1.1388466485868949,1.0198597601877175,0.034506813723766905,0.0818659870161462,0.04236586933839642
H10,test_compounds,0.5017164873389707,0.4663983545011915,0.443980886995064,0.021679876545810845,0.03326038642263607,0.009038565270842982
H11,test_compounds,0.9131347035354634,0.8182813087519272,0.7672062669490097,0.029228265024634024,0.055916588439531706,0.02214411049588921
H12,dmso,0.957652516806485,0.988340403637588,0.9779495413899656,0.03399190190500122,0.02970698219872037,0.024867763037888145
