Plate,Well,Signal,,,,,,,,,,
7,B01,139129,,,,,,,,,,
7,B02,168649,,,,,,,,,,
7,B03,67207,,,,,,,,,,
7,B04,135283,,,,,,,,,,
7,B05,126921,,,,,,,,,,
7,B06,122039,,,,,,,,,,
7,B07,91182,,,,,,,,,,
7,B08,94940,,,,,,,,,,
7,B09,153457,,,,,,,,,,
7,B10,63301,,,,,,,,,,
7,B11,65638,,,,,,,,,,
7,B12,31712,,,,,,,,,,
7,C01,149509,,,,,,,,,,
7,C02,163673,,,,,,,,,,
7,C03,173428,,,,,,,,,,
7,C04,120023,,,,,,,,,,
7,C05,112950,,,,,,,,,,
7,C06,149763,,,,,,,,,,
7,C07,174465,,,,,,,,,,
7,C08,175573,,,,,,,,,,
7,C09,167877,,,,,,,,,,
7,C10,171902,,,,,,,,,,
7,C11,153557,,,,,,,,,,
7,C12,33503,,,,,,,,,,
7,D01,139825,,,,,,,,,,
7,D02,162257,,,,,,,,,,
7,D03,171584,,,,,,,,,,
7,D04,86595,,,,,,,,,,
7,D05,156040,,,,,,,,,,
7,D06,152403,,,,,,,,,,
7,D07,184833,,,,,,,,,,
7,D08,144318,,,,,,,,,,
7,D09,174664,,,,,,,,,,
7,D10,214999,,,,,,,,,,
7,D11,156128,,,,,,,,,,
7,D12,33400,,,,,,,,,,
7,E01,36158,,,,,,,,,,
7,E02,166565,,,,,,,,,,
7,E03,132577,,,,,,,,,,
7,E04,139396,,,,,,,,,,
7,E05,128939,,,,,,,,,,
7,E06,30842,,,,,,,,,,
7,E07,162564,,,,,,,,,,
7,E08,148515,,,,,,,,,,
7,E09,125332,,,,,,,,,,
7,E10,63672,,,,,,,,,,
7,E11,166027,,,,,,,,,,
7,E12,152122,,,,,,,,,,
7,F01,32665,,,,,,,,,,
7,F02,157199,,,,,,,,,,
7,F03,143212,,,,,,,,,,
7,F04,158625,,,,,,,,,,
7,F05,125747,,,,,,,,,,
7,F06,157483,,,,,,,,,,
7,F07,114190,,,,,,,,,,
7,F08,160433,,,,,,,,,,
7,F09,171654,,,,,,,,,,
7,F10,141224,,,,,,,,,,
7,F11,135838,,,,,,,,,,
7,F12,141503,,,,,,,,,,
7,G01,32157,,,,,,,,,,
7,G02,159133,,,,,,,,,,
7,G03,130084,,,,,,,,,,
7,G04,126395,,,,,,,,,,
7,G05,153852,,,,,,,,,,
7,G06,71387,,,,,,,,,,
7,G07,173155,,,,,,,,,,
7,G08,171824,,,,,,,,,,
7,G09,161059,,,,,,,,,,
7,G10,170340,,,,,,,,,,
7,G11,155020,,,,,,,,,,
7,G12,147093,,,,,,,,,,
7,H01,30133,,,,,,,,,,
7,H02,133334,,,,,,,,,,
7,H03,121287,,,,,,,,,,
7,H04,122664,,,,,,,,,,
7,H05,130246,,,,,,,,,,
7,H06,114525,,,,,,,,,,
7,H07,162327,,,,,,,,,,
7,H08,167394,,,,,,,,,,
7,H09,182359,,,,,,,,,,
7,H10,83236,,,,,,,,,,
7,H11,159114,,,,,,,,,,
7,H12,144418,,,,,,,,,,
8,A01,145780,,,,,,,,,,
8,A02,166496,,,,,,,,,,
8,A03,160265,,,,,,,,,,
8,A04,169032,,,,,,,,,,
8,A05,170052,,,,,,,,,,
8,A06,172495,,,,,,,,,,
8,A07,166557,,,,,,,,,,
8,A08,168865,,,,,,,,,,
8,A09,173420,,,,,,,,,,
8,A10,157949,,,,,,,,,,
