drugs,row,col,drug_avg_1,drug_avg_2,drug_avg_3,drug_avg_4,drug_sd_1,drug_sd_2,drug_sd_3,drug_sd_4,ctrl_avg_1,ctrl_avg_2,ctrl_avg_3,ctrl_avg_4,ctrl_sd_1,ctrl_sd_2,ctrl_sd_3,ctrl_sd_4,p.val_1,p.val_2,p.val_3,p.val_4
Selumetinib,8,18,390385,488922.3333333333,480052,431259.3333333333,19575.393048416678,6765.890653368065,15300.21238414683,18800.563936577364,421040.75,478653.25,475442.5,424700.5,23238.145642814674,7086.697791167148,8161.915563559002,10128.168129857771,0.05714285714285714,0.8939718287104832,0.05714285714285714,0.15772349491461543
SGI-1027,10,12,409614,461514.6666666667,444374.6666666667,411295.6666666667,5140.192311577457,17248.276503272242,5168.44670412043,8721.450701192625,390734.75,482467.75,448012.75,399429.75,44923.73397492689,8501.93250090825,38785.476047742406,8067.081767900955,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.941991341991342
SGX-523,14,4,254063,400598.3333333333,441159.3333333333,382146.3333333333,13072.22349105155,23231.787583682264,62115.141997208164,20804.443211327078,346873.5,494297,426726.5,358755,11624.128375925655,7075.310452552594,60523.390722100165,12563.873288122577,0.2,0.11845943047368827,1,0.0570409982174688
Silmitasertib,8,10,349566.6666666667,425930.3333333333,414597,396405.6666666667,11399.362102035944,41469.332299101865,7491.6574267647875,6933.07214251614,381634.5,439496,445613.5,402489.75,101677.23171061128,59619.09794688276,30128.855321767536,11083.341144107524,0.4,0.05714285714285714,0.22857142857142856,3.395297512944572e-5
T0070907,8,14,435005.3333333333,491393,486032.3333333333,409040.3333333333,8761.014172647669,11119.69932147448,8401.045252427422,12525.308073390184,424779,491884.75,474788.25,404234,24308.895258046316,11353.127392191693,14122.02316419287,21178.507139708094,0.11428571428571428,0.07703027010276908,0.4803327391562686,3.395297512944572e-5
TAK-580,10,22,308533,400913,413194.3333333333,341081,10477.534013306757,5139.945914112326,14723.24320023728,22640.946557067793,403239.75,441354.75,461253.25,404800.5,28710.059402875966,24475.259704103926,12847.112629562593,15177.844060779296,0.22857142857142856,0.6285714285714286,0.6446651387827859,0.22857142857142856
Tazemetostat,2,8,316132.6666666667,448548,471458.6666666667,484333,23559.584723278407,5908.160712099832,19026.27557703644,56057.06272183729,364099,469024,439584,436433,13146.529275820292,10609.430144922959,11240.16939374136,13665.545653211217,0.2,0.5174009457575683,0.0035650623885918,0.2
Tipifarnib,12,8,258468,376182,399552,376664,30155.545576228596,45161.923575064866,24762.64664772326,1927.7043341757574,382440.25,471390,448652.75,382203,18037.87822657273,13989.10321166681,19153.334720530172,26267.09775872977,0.05714285714285714,3.395297512944572e-5,3.395297512944572e-5,0.11428571428571428
Tomivosertib,14,14,351500.3333333333,476540,472244.6666666667,430017,19138.17343252311,18907.190774940627,4984.9459709542825,852.971863545334,392012.5,483975.75,479588.75,391480.25,21772.39540488521,8049.799681772625,15619.069186414406,17417.542945260677,0.05714285714285714,3.395297512944572e-5,0.049569439378637385,0.05714285714285714
Topotecan (Hydrochloride),4,20,189079.66666666666,244814,119431.66666666667,115518.33333333333,12166.891892892505,25373.12690623684,5459.50019079891,11147.126371102704,390562.5,488456.25,453026,444288.75,52806.00878372334,19401.861583793107,22832.470898554395,29966.82497223666,0.05714285714285714,0.03303624480095068,0.9362626370697005,0.05714285714285714
Trametinib,14,18,297495,466957,476330.3333333333,399303,15056.42201852751,7202.864083126933,13773.02437133302,20682.12484248173,389908.75,483435,475300.25,420422.25,10401.611938380833,11159.888320827109,18153.17875515654,20460.431347277765,3.395297512944572e-5,0.03303624480095068,0.05714285714285714,0.05714285714285714
Volasertib,6,12,302098.3333333333,379865.3333333333,397719,338131.3333333333,13742.208495483299,14660.68816029225,19250.649625402257,16729.285111245288,440141,485646.25,480502,383920.25,28934.06582790143,16682.13971837346,14071.70581936201,20812.510474471837,3.395297512944572e-5,0.4187647022715755,0.0384256695620193,0.4
Vorinostat,4,14,290696,249426.66666666666,174208,184136.66666666666,8195.970046309345,138544.97023469792,29551.574171268778,14599.16303537067,398059.75,495734.5,477953.75,423212.25,20841.212398754542,1248.9607679987391,31786.425010004925,45667.44083315814,0.6100670571258807,0.022398981412653972,0.05714285714285714,0.4
