Plate,Well,Signal,,,,,,,,,,
5,H09,199158,,,,,,,,,,
5,H10,81627,,,,,,,,,,
5,H11,142190,,,,,,,,,,
5,H12,178758,,,,,,,,,,
6,A01,161612,,,,,,,,,,
6,A02,153368,,,,,,,,,,
6,A03,161582,,,,,,,,,,
6,A04,162972,,,,,,,,,,
6,A05,167456,,,,,,,,,,
6,A06,160804,,,,,,,,,,
6,A07,175211,,,,,,,,,,
6,A08,181326,,,,,,,,,,
6,A09,172603,,,,,,,,,,
6,A10,146343,,,,,,,,,,
6,A11,130731,,,,,,,,,,
6,A12,32457,,,,,,,,,,
6,B01,156328,,,,,,,,,,
6,B02,149682,,,,,,,,,,
6,B03,219272,,,,,,,,,,
6,B04,119552,,,,,,,,,,
6,B05,119513,,,,,,,,,,
6,B06,110931,,,,,,,,,,
6,B07,85057,,,,,,,,,,
6,B08,97599,,,,,,,,,,
6,B09,164883,,,,,,,,,,
6,B10,55782,,,,,,,,,,
6,B11,59480,,,,,,,,,,
6,B12,32102,,,,,,,,,,
6,C01,161900,,,,,,,,,,
6,C02,161584,,,,,,,,,,
6,C03,188592,,,,,,,,,,
6,C04,89455,,,,,,,,,,
6,C05,108498,,,,,,,,,,
6,C06,136358,,,,,,,,,,
6,C07,182834,,,,,,,,,,
6,C08,188398,,,,,,,,,,
6,C09,190777,,,,,,,,,,
6,C10,173924,,,,,,,,,,
6,C11,161827,,,,,,,,,,
6,C12,32409,,,,,,,,,,
6,D01,163535,,,,,,,,,,
6,D02,156831,,,,,,,,,,
6,D03,193444,,,,,,,,,,
6,D04,76272,,,,,,,,,,
6,D05,152157,,,,,,,,,,
6,D06,138420,,,,,,,,,,
6,D07,194154,,,,,,,,,,
6,D08,157948,,,,,,,,,,
6,D09,156954,,,,,,,,,,
6,D10,219967,,,,,,,,,,
6,D11,150879,,,,,,,,,,
6,D12,32877,,,,,,,,,,
6,E01,33731,,,,,,,,,,
6,E02,160415,,,,,,,,,,
6,E03,123408,,,,,,,,,,
6,E04,118726,,,,,,,,,,
6,E05,140799,,,,,,,,,,
6,E06,31870,,,,,,,,,,
6,E07,187340,,,,,,,,,,
6,E08,187861,,,,,,,,,,
6,E09,124115,,,,,,,,,,
6,E10,62947,,,,,,,,,,
6,E11,167393,,,,,,,,,,
6,E12,172461,,,,,,,,,,
6,F01,31607,,,,,,,,,,
6,F02,150906,,,,,,,,,,
6,F03,143586,,,,,,,,,,
6,F04,150385,,,,,,,,,,
6,F05,130419,,,,,,,,,,
6,F06,155433,,,,,,,,,,
6,F07,99360,,,,,,,,,,
6,F08,165091,,,,,,,,,,
6,F09,174964,,,,,,,,,,
6,F10,155267,,,,,,,,,,
6,F11,150613,,,,,,,,,,
6,F12,165517,,,,,,,,,,
6,G01,32197,,,,,,,,,,
6,G02,159727,,,,,,,,,,
6,G03,137886,,,,,,,,,,
6,G04,133920,,,,,,,,,,
6,G05,147808,,,,,,,,,,
6,G06,63481,,,,,,,,,,
6,G07,185004,,,,,,,,,,
6,G08,205133,,,,,,,,,,
6,G09,145791,,,,,,,,,,
