,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
Plate,Well,Signal,,,,,,,,,,
4,F10,105296,,,,,,,,,,
4,F11,101468,,,,,,,,,,
4,F12,120688,,,,,,,,,,
4,G01,28583,,,,,,,,,,
4,G02,101798,,,,,,,,,,
4,G03,86586,,,,,,,,,,
4,G04,82926,,,,,,,,,,
4,G05,108630,,,,,,,,,,
4,G06,46280,,,,,,,,,,
4,G07,115931,,,,,,,,,,
4,G08,134639,,,,,,,,,,
4,G09,95780,,,,,,,,,,
4,G10,112958,,,,,,,,,,
4,G11,127669,,,,,,,,,,
4,G12,117605,,,,,,,,,,
4,H01,28392,,,,,,,,,,
4,H02,112819,,,,,,,,,,
4,H03,74580,,,,,,,,,,
4,H04,82196,,,,,,,,,,
4,H05,84140,,,,,,,,,,
4,H06,77894,,,,,,,,,,
4,H07,106108,,,,,,,,,,
4,H08,102473,,,,,,,,,,
4,H09,124792,,,,,,,,,,
4,H10,54450,,,,,,,,,,
4,H11,91467,,,,,,,,,,
4,H12,121132,,,,,,,,,,
,,,,,,,,,,,,
,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
Plate,Well,Signal,,,,,,,,,,
5,A01,116482,,,,,,,,,,
5,A02,109026,,,,,,,,,,
5,A03,103663,,,,,,,,,,
5,A04,119316,,,,,,,,,,
5,A05,108732,,,,,,,,,,
5,A06,126040,,,,,,,,,,
5,A07,128345,,,,,,,,,,
5,A08,136724,,,,,,,,,,
5,A09,122005,,,,,,,,,,
5,A10,100793,,,,,,,,,,
5,A11,95414,,,,,,,,,,
5,A12,27856,,,,,,,,,,
5,B01,135135,,,,,,,,,,
5,B02,137614,,,,,,,,,,
5,B03,52507,,,,,,,,,,
5,B04,101540,,,,,,,,,,
5,B05,89666,,,,,,,,,,
5,B06,99334,,,,,,,,,,
5,B07,66053,,,,,,,,,,
5,B08,75729,,,,,,,,,,
5,B09,125501,,,,,,,,,,
5,B10,45903,,,,,,,,,,
5,B11,47961,,,,,,,,,,
5,B12,29618,,,,,,,,,,
5,C01,131019,,,,,,,,,,
5,C02,140271,,,,,,,,,,
5,C03,138606,,,,,,,,,,
5,C04,67356,,,,,,,,,,
5,C05,81759,,,,,,,,,,
5,C06,106285,,,,,,,,,,
5,C07,136925,,,,,,,,,,
5,C08,134742,,,,,,,,,,
5,C09,120004,,,,,,,,,,
5,C10,121305,,,,,,,,,,
5,C11,116853,,,,,,,,,,
5,C12,28434,,,,,,,,,,
5,D01,122331,,,,,,,,,,
5,D02,122494,,,,,,,,,,
5,D03,118617,,,,,,,,,,
5,D04,55794,,,,,,,,,,
5,D05,108639,,,,,,,,,,
5,D06,106321,,,,,,,,,,
5,D07,129120,,,,,,,,,,
5,D08,102274,,,,,,,,,,
5,D09,98065,,,,,,,,,,
5,D10,147078,,,,,,,,,,
5,D11,114198,,,,,,,,,,
5,D12,29414,,,,,,,,,,
5,E01,29825,,,,,,,,,,
5,E02,117874,,,,,,,,,,
5,E03,84856,,,,,,,,,,
5,E04,88806,,,,,,,,,,
5,E05,88398,,,,,,,,,,
5,E06,29984,,,,,,,,,,
5,E07,123921,,,,,,,,,,
5,E08,118753,,,,,,,,,,
5,E09,85385,,,,,,,,,,
5,E10,50042,,,,,,,,,,
5,E11,125912,,,,,,,,,,
5,E12,115760,,,,,,,,,,
5,F01,30751,,,,,,,,,,
5,F02,106095,,,,,,,,,,
5,F03,95492,,,,,,,,,,
5,F04,92026,,,,,,,,,,
5,F05,98140,,,,,,,,,,
5,F06,107687,,,,,,,,,,
5,F07,69960,,,,,,,,,,
5,F08,112470,,,,,,,,,,
5,F09,124083,,,,,,,,,,
5,F10,98293,,,,,,,,,,
5,F11,102890,,,,,,,,,,
5,F12,113773,,,,,,,,,,
5,G01,29557,,,,,,,,,,
5,G02,108123,,,,,,,,,,
5,G03,90147,,,,,,,,,,
5,G04,80679,,,,,,,,,,
5,G05,104953,,,,,,,,,,
5,G06,48317,,,,,,,,,,
5,G07,123334,,,,,,,,,,
5,G08,135832,,,,,,,,,,
5,G09,96408,,,,,,,,,,
5,G10,110160,,,,,,,,,,
5,G11,118493,,,,,,,,,,
5,G12,116330,,,,,,,,,,
5,H01,29361,,,,,,,,,,
5,H02,123098,,,,,,,,,,
5,H03,80774,,,,,,,,,,
5,H04,80443,,,,,,,,,,
5,H05,87336,,,,,,,,,,
5,H06,79006,,,,,,,,,,
5,H07,113706,,,,,,,,,,
5,H08,111973,,,,,,,,,,
5,H09,128102,,,,,,,,,,
5,H10,56684,,,,,,,,,,
5,H11,93849,,,,,,,,,,
5,H12,122728,,,,,,,,,,
,,,,,,,,,,,,
,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
Plate,Well,Signal,,,,,,,,,,
6,A01,102665,,,,,,,,,,
6,A02,95627,,,,,,,,,,
6,A03,117475,,,,,,,,,,
6,A04,107472,,,,,,,,,,
6,A05,111138,,,,,,,,,,
6,A06,118924,,,,,,,,,,
6,A07,132169,,,,,,,,,,
6,A08,127733,,,,,,,,,,
6,A09,126481,,,,,,,,,,
6,A10,104200,,,,,,,,,,
6,A11,93010,,,,,,,,,,
