Well,comp,Avg_cbd,Avg_control,SD_cbd,SD_control,ratio,log2ratio,ratioSD,well_type,correction,significance,sign_values
C02,2000,0.9656389833474651,0.96482074105321,0.041460717122550145,0.12584036015144914,1.0008480770151789,0.0012229979791234123,0.13743055199463486,cbd,0.7259869730259092,0,0
D02,2000,1.0330383909512963,1.072136441033601,0.1140919550768793,0.04462616895115118,0.963532579822945,-0.053594645850188014,0.11372215529967517,cbd,1.1909768904222955,0,-0
E02,2000,1.0918853905272963,0.9305729014923235,0.03319486110580671,0.07223178560547976,1.17334750321687,0.23063035089477107,0.09781264391530954,cbd,0.977722215386251,0,0
A01,2000,1.2305243342751737,1.2264822989992574,0.0737626966609966,0.13224197489759068,1.0032956327859068,0.0047467755514914245,0.1237715375220996,dmso,0.7557525577417077,0,0
B01,2000,1.0293185498813873,1.0292540794566234,0.14114041752345236,0.04034718250795978,1.000062638007515,9.036471270989302e-5,0.1426225204579721,dmso,0.7148175970915709,0,0
C01,2000,1.2797739624368556,1.3076835968576552,0.14465828433098604,0.27141016360496206,0.9786571962148443,-0.03112449341195193,0.2312902205175602,dmso,1.4412376372499647,0,-0
D01,2000,1.2579370239236918,1.1706410533944487,0.08702794298500634,0.042617150698996194,1.0745710824647021,0.10376091964555964,0.08400657401319198,dmso,0.9065579344383181,0,0
E12,2000,1.3387894570721472,1.1687441808312626,0.10845545734274348,0.0905817585794082,1.1454940088941798,0.19596991315043688,0.12842529079469364,dmso,0.8886434273047925,0,0
F12,2000,1.6273865403349939,1.188202061473966,0.013960101022648724,0.05812150216624739,1.3696210376173048,0.4537767670685925,0.0680180968979995,dmso,1.2335848438213057,2,0.4537767670685925
G12,2000,1.421433616866861,1.298660172433149,0.1352026568315283,0.23158136073421312,1.0945385459875048,0.13032276230854095,0.22121179659556808,dmso,0.6521149527963686,0,0
H12,2000,1.2149657402142848,0.983098467628013,0.12135637799692647,0.12334578000001996,1.2358535591513162,0.30550780311062425,0.19819462179835612,dmso,0.839464315554604,0,0
A12,2000,0.4448455697963939,0.2799818794860729,0.037399541751781874,0.06970851799999296,1.5888370012121509,0.6679711261937357,0.41752534726755974,PC,0.7537863066770314,0,0
B12,2000,0.3992599869495247,0.2822046783226383,0.02796187090073683,0.04467597897940543,1.414788689268502,0.5005865903647371,0.24491388447208204,PC,0.9249609203243379,0,0
C12,2000,0.34802011823551215,0.23958865688724781,0.052226626942529324,0.051181457846492966,1.4525734346400756,0.5386111007127886,0.37921572101690465,PC,0.6941419926062663,0,0
D12,2000,0.37034256590441184,0.20410056520123784,0.036097194016181305,0.07125433576941219,1.8145102417490304,0.8595801999304113,0.6576963550601499,PC,0.4991175316287306,0,0
E01,2000,0.33034986578697745,0.24732327663748466,0.12516426675546669,0.04462126953827179,1.3357006678800776,0.41759673434649835,0.5605222510967249,PC,0.2146561656866277,0,0
F01,2000,0.30438837959899306,0.2898241383179112,0.027382402155938058,0.06634697417867828,1.0502519954535539,0.07073552691294419,0.2583227712396581,PC,0.5336064529742377,0,0
G01,2000,0.30179734456429086,0.2648617348519133,0.0032376661679883057,0.02060189400947371,1.139452419327498,0.18834068253787456,0.08946968658125054,PC,0.9605130461649969,0,0
H01,2000,0.35207790449273163,0.2673779985083945,0.1258370221369241,0.06595454242456333,1.3167796395247455,0.3970139336244747,0.57183799413259,PC,0.17310365125956562,0,0
A03,2000,0.9936340889093265,1.2155515463202593,0.15235468551835488,0.018795184782169818,0.8174347619541718,-0.29082449866296,0.1259735886072458,test_compounds,1.0693819391686634,0,-0
A04,2000,0.8944473065230173,1.1367595178947678,0.06685058435030743,0.0775842827743539,0.7868395139365071,-0.345858685404082,0.07963855942661262,test_compounds,0.9461166327897323,2,-0.345858685404082
A05,2000,1.128241480207882,1.1695102085883688,0.18180557012299364,0.08405823276118052,0.9647128104761913,-0.0518285707108493,0.1702172468486355,test_compounds,1.3051473041734623,0,-0
A06,2000,0.8113562096331287,0.9461449387177654,0.18179386597782854,0.07063157536309861,0.8575390264547574,-0.22172576530273286,0.20252553608814894,test_compounds,1.2625900986310552,0,-0
A07,2000,0.8102048346270819,1.0341527736927696,0.20353005310349603,0.015560780310601034,0.7834479152765691,-0.35209072940447805,0.19716123382079434,test_compounds,1.1777703829181578,0,-0
A08,2000,0.872807121099379,1.0223625952849766,0.006286209813842228,0.06970436470206212,0.8537158197342792,-0.22817218158652122,0.05852994404439922,test_compounds,0.9707757078230776,2,-0.22817218158652122
A09,2000,0.9699371655934043,1.0872122958273258,0.1459312898723488,0.05447925829743143,0.8921322627751558,-0.16467048260667466,0.14147384773807511,test_compounds,1.175079958251306,0,-0
A10,2000,0.8477922003003399,0.7468552232255762,0.020446504955835377,0.08866676540584437,1.1351493220316908,0.18288208781133591,0.1375177123127237,test_compounds,0.8601138974062434,0,0
A11,2000,0.9750209973144055,0.959122669866029,0.07072945817493052,0.10273647832778125,1.0165759062400195,0.023717943138855394,0.13151168811521394,test_compounds,0.7535525300095915,0,0
B03,2000,0.3013150762413381,0.2901848287201692,0.0018501129719820457,0.003970931168108632,1.0383557182167575,0.05430076449813823,0.015573846687545514,test_compounds,1.0072080248416666,2,0.05430076449813823
B04,2000,0.6261796838952095,0.6032782925272907,0.02710955409219859,0.030023337470211374,1.0379615703922958,0.0537530301786504,0.06846680684734749,test_compounds,0.9010279566976007,0,0
B05,2000,0.3837928639682338,0.4143219715883194,0.044453663933741165,0.08177277190203261,0.9263154992648566,-0.11042444168087438,0.21198057906424742,test_compounds,1.3502766573933513,0,-0
B06,2000,0.9598904697807874,0.6741946459414276,0.04573872044837255,0.023645305318042566,1.4237586660754649,0.5097046232967214,0.08423739532835964,test_compounds,1.2552838754187456,2,0.5097046232967214
