drugs,drug_avg_1,drug_avg_2,drug_avg_3,drug_avg_4,drug_sd_1,drug_sd_2,drug_sd_3,drug_sd_4,ctrl_avg_1,ctrl_avg_2,ctrl_avg_3,ctrl_avg_4,ctrl_sd_1,ctrl_sd_2,ctrl_sd_3,ctrl_sd_4,drug_to_ctlr_1,drug_to_ctlr_2,drug_to_ctlr_3,drug_to_ctlr_4,d_t_c_SD_1,d_t_c_SD_2,d_t_c_SD_3,d_t_c_SD_4,ttest_pval_1,ttest_pval_2,ttest_pval_3,ttest_pval_4,wilcox_pval_1,wilcox_pval_2,wilcox_pval_3,wilcox_pval_4
Nedisertib,451792,378200.6666666667,433852.6666666667,421937.6666666667,17380.60939668112,28045.621446730922,14091.331886423417,8216.857083662422,426098,431300.25,437334,428362.75,21223.84303874615,25432.77801545347,5275.254748982903,39789.41301715822,1.0603006820027319,0.8768848769892127,0.992039646281027,0.98500083554573,0.06673144644628362,0.08307858945233693,0.03437126297812445,0.09348312368780318,0.14012375623737175,0.05892715750323543,0.717158070693033,0.7720540207213619,0.22857142857142856,0.11428571428571428,1,0.6285714285714286
Lapatinib,414335.3333333333,329534,399363.6666666667,332657.6666666667,14897.47462939049,10209.10921677303,15869.035330899398,17346.399232501633,426645.25,418959.5,430522.75,411070.75,14122.70319674436,25673.451923468856,27169.62570439031,25788.17973898119,0.9711471845364112,0.7865533542024945,0.9276250016210913,0.8092467456433392,0.047462139569998694,0.054008863735535005,0.0691787565286023,0.06601521986064861,0.3266414671611267,0.0028735577187837965,0.1174641001710927,0.004901723729400454,0.6285714285714286,0.05714285714285714,0.22857142857142856,0.05714285714285714
Dinaciclib,125543.33333333333,101816.33333333333,102686,84575.33333333333,7263.174397832764,7727.174796349138,4186.9321704560725,14522.59771298969,410908,408277.25,427641,431539.25,15628.062430555277,13663.993593260597,26785.3506852782,11093.583051325963,0.3055266223420652,0.24938037407995015,0.24012197146672093,0.19598526283144194,0.021153356429772518,0.02068483302511189,0.01794610857721798,0.034028061348737516,2.033015060000756e-6,4.1358545525863004e-7,1.0415416926057316e-4,9.659716533269794e-6,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
TAK-580,441916,410049,452636.6666666667,453115.3333333333,11636.881412131,15676.066120044276,12308.810922803768,9927.743013058574,411077.75,405617.5,455775.5,443320.5,15747.264532292585,8936.665616063596,29328.512298898942,4398.7101518513355,1.0750180470726036,1.0109253175713573,0.9931132030279528,1.0220942485929103,0.04997229741010889,0.04460613200175558,0.06937755632385972,0.024583366218999085,0.030893961799905972,0.6905500575176293,0.8561642292546947,0.22271452569495578,0.05714285714285714,0.8571428571428572,1,0.22857142857142856
KU-55933,483686,419817,486802.3333333333,422955,7128.067620330211,18408.55681469897,23821.477081267094,5189.538226085246,455378.3333333333,432109.3333333333,490346,450442.3333333333,22744.44759349704,14551.38592482975,31791.90658013451,11646.100305824837,1.062162963396736,0.9715527243105141,0.9927731302658395,0.938977020365907,0.05531215968469523,0.053715153936236104,0.08064262478093706,0.02687208997236418,0.1547994303300967,0.41808813666656636,0.8852550992409878,0.03846491003721678,0.1,0.7,1,0.1
GSK2606414,477055,402924,465311.3333333333,447505.3333333333,18697.942052536157,18680.246759612142,17715.60047905047,27697.675016747045,447136.5,416465,466025.5,448257.25,21282.602542922235,11136.618726824883,9791.354366650883,14411.319888083348,1.0669113346819148,0.9674858631577684,0.9984675373629411,0.9983225777906176,0.06578386465763554,0.05178065566049934,0.04341847702213833,0.06962831031803639,0.10815761010701065,0.3443842024390581,0.9538447779651764,0.96866111309414,0.22857142857142856,0.4,0.8571428571428571,0.8571428571428572
Tipifarnib,449290,368307,453884.3333333333,442725,23494.27572835562,14670.641840083208,28751.358338926064,17829.189746031647,441875.5,411579.25,456312.25,448430,6432.345062261507,5238.68847295453,8848.42288678233,12639.924867920166,1.0167796132621065,0.894862896999788,0.9946792647651543,0.9872778360056196,0.055191166538956796,0.037420339865054886,0.0658941902334647,0.04853052975656221,0.6431646563832036,0.02742491241828744,0.8990986154555745,0.664898149455263,1,0.05714285714285714,1,1
Axitinib,463469.3333333333,368395.6666666667,439781.3333333333,401453.3333333333,13091.626191322961,12525.136539508596,40632.7031999267,4710.073707845062,431423.5,390612.25,443585.75,444726.25,35991.86032517167,39814.79648217063,19143.366603517436,8141.947652947257,1.0742792947842046,0.9431236902239156,0.9914234921508036,0.9026976332818971,0.0946205409493446,0.10133865006890912,0.1011003939801244,0.019628795378121573,0.17657553518874283,0.357108068752094,0.8912475663189715,3.662488604434251e-4,0.11428571428571428,0.4,0.8571428571428571,0.05714285714285714
Laduviglusib,458848.6666666667,383028,447622,451207.6666666667,19962.670996971654,37614.42304489064,42017.719488330156,9512.616744793902,418678.75,383998.25,430972.5,442359.5,32797.853571791355,37491.16755872864,27175.614479406595,7233.94191756242,1.095944484086347,0.9974732957767386,1.0386323953384498,1.0200022078573348,0.09820414204307784,0.13812800658235055,0.117450286917117,0.027215105131859072,0.10254941222040033,0.9744852965161128,0.5886181578312708,0.2559046059674846,0.11428571428571428,1,0.6285714285714286,0.22857142857142856
Berzosertib,448754,328971.6666666667,448296.6666666667,394993.3333333333,20501.117628070915,33768.5359814922,39558.743133893084,23466.49887250617,426217.75,407613.75,437603.75,443422.25,9467.337372073875,24198.968564451945,27212.073513730382,13140.742936252374,1.05287496825273,0.8070671479229213,1.024435157757827,0.890783746943987,0.05348427953069514,0.09570216249941657,0.11058963101827345,0.05913995529460891,0.1873873041199515,0.03291590515794352,0.7115836277330141,0.05005417174194599,0.22857142857142856,0.05714285714285714,0.8571428571428572,0.05714285714285714
Ceritinib,459326.3333333333,377373.6666666667,450150,434749.6666666667,26535.367838666443,39385.67019022697,18889.74105169258,22114.49602259417,439619.25,404222.75,446527.5,435274.25,7738.914841026916,21486.958856866335,10918.841223621977,17142.573404149876,1.0448276169283608,0.933578495190255,1.008112602247342,0.998794821119482,0.063100009417891,0.10934523454850312,0.0489620074614132,0.06425381877834073,0.3261304617832349,0.36651153019810095,0.7858157878005354,0.9745441897223074,0.6285714285714286,0.4,0.8571428571428572,1
Navitoclax,452107.3333333333,381870,449652.3333333333,421497.3333333333,7334.920199520465,5112.238550772059,8324.929208908225,6625.212550049495,438587.25,399793.5,446562.25,433779.5,10435.125694020173,5819.432074237714,7262.656601868676,15928.288660953714,1.0308264395130804,0.9551681055344822,1.0069197146273186,0.971685691309371,0.029685303921671964,0.01888968566840955,0.024813460909251604,0.038811596669066244,0.10039728600017618,0.008379761550734631,0.6346625993938282,0.23350810058389188,0.22857142857142856,0.05714285714285714,0.6285714285714286,0.22857142857142856
Ro-3306,448145.6666666667,383112,439562.3333333333,401519,2599.5588728346456,24718.213284944362,20941.554057264548,18514.319944302573,423981.25,406481,448351,441457.5,10823.262427906539,3387.492386215306,10934.938256189043,12842.979547856745,1.056994069116657,0.9425089979605443,0.9803977984510647,0.9095303624924257,0.027670464417576476,0.061315428087502885,0.052472615819880136,0.049588622344336815,0.01732344443697058,0.24206073054867325,0.5578119276210208,0.04115987240508269,0.05714285714285714,0.6285714285714286,0.6285714285714286,0.05714285714285714
Empesertib,398313.6666666667,331424.3333333333,446068,384159.6666666667,6858.525011497249,14139.654604456693,14339.420106824404,8611.679298100535,420038,411597.75,458676.25,449621,8386.819301737698,5587.256952208301,18071.82642263919,16634.286258608554,0.9482800762470698,0.8052141522477548,0.9725116571873953,0.8544077493414824,0.025002321098241423,0.036050090071732856,0.04945237828976276,0.036959830282834165,0.013583898684071456,0.005528550127927752,0.35132730687085395,0.0014441064900678894,0.05714285714285714,0.05714285714285714,0.4,0.05714285714285714
SGX-523,484534,413144,497208,443386.3333333333,10733.613510835949,25551.192457495992,25690.320297730817,22738.390759535585,437531,445759,476978.5,431951,7618.368460503863,20825.708919506196,12578.722530527493,7304.413049657036,1.107427816543285,0.926832660697821,1.0424117648908704,1.0264736818142182,0.0312034347742798,0.0718377287436439,0.060470373156999976,0.05542912411464855,0.01183980986748058,0.22653501749073157,0.32822165427340383,0.48644856674925047,0.2,0.4,0.7999999999999998,1
Alisertib,472228.3333333333,381039.6666666667,474722.6666666667,377140.6666666667,18640.708954686605,27034.0006165076,17436.89549011903,27864.88410766019,434028.5,429362.5,479270.75,433632,6263.618895388405,23401.446415410595,24832.056625458954,4642.7795553956685,1.0880122695475833,0.8874544625268082,0.9905104091302602,0.8697251740338967,0.04572830603443849,0.07939702614343368,0.06290829022021113,0.064930485325129,0.060994021560155313,0.06793535521216111,0.7874126951483555,0.0695429913058625,0.05714285714285714,0.11428571428571428,1,0.05714285714285714
Onvansertib,448338.6666666667,346842.3333333333,446606.3333333333,353957.3333333333,4345.921459636993,23597.222131711464,12336.022954474969,16294.151905924204,437853.75,413532.75,483622.25,444246.75,9101.276151361046,7283.265951251998,32226.75066229917,13302.121243746553,1.023946161627408,0.8387300240025326,0.9234610966169016,0.7967584080994027,0.023484427195844395,0.058943555043771134,0.06661311924451403,0.043754579187565985,0.10623991458976403,0.03206511573084288,0.1025890574444416,0.001661934577459023,0.22857142857142856,0.05714285714285714,0.11428571428571428,0.05714285714285714
AZD1390,457698,390498.3333333333,471199,447871.3333333333,28071.357715650305,19299.595652068292,45428.98289638455,10713.39826261179,444795.75,413394.5,475677.25,446527.25,11864.532449700662,9951.517957913087,26766.73087217289,12360.377296695544,1.0290071341733817,0.9446142445855794,0.9905855283177827,1.003010081318292,0.06882108180528926,0.05192910159632251,0.11058045291734361,0.036694886553089306,0.5177865081539718,0.163712723465179,0.88865464659083,0.8840859136901607,0.6285714285714286,0.22857142857142856,1,1
Camptothecin,260040.66666666666,136753.33333333334,272106.3333333333,127709.66666666667,30760.788047989496,9940.019735057538,32578.902687680158,3379.8849585944986,437164.75,405105.75,461435.75,441231,15576.582517248982,16721.664099305428,11625.391903788304,5199.2017335997525,0.5948344798309256,0.3375744070118317,0.5896949539200925,0.28943946972598633,0.07348700838724592,0.028217330447668755,0.07214952423040272,0.00838508149718357,0.003764237137871942,1.8829935107471444e-6,0.005804297069532924,2.5325204414421854e-9,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
